661-7575,R130361449,"SVC,IPHONE 5C,GSM,16GB,PNK,CI/AR",252
661-7576,R130363898,"SVC,IPHONE 5C,GSM,32GB,WHT,CI/AR",252
661-7578,R130041372,"SVC,IPHONE 5C,GSM,32GB,BLU,CI/AR",252
661-7713,R130347307,"IPHONE 5S,GSM,16GB,GRAY,CI/AR",252
661-7713,R130362568,"IPHONE 5S,GSM,16GB,GRAY,CI/AR",252
661-7713,R130368525,"IPHONE 5S,GSM,16GB,GRAY,CI/AR",252
661-7713,R130368641,"IPHONE 5S,GSM,16GB,GRAY,CI/AR",252
661-7713,R130371459,"IPHONE 5S,GSM,16GB,GRAY,CI/AR",252
661-7714,R130360434,"IPHONE 5S,GSM,16GB,SILVER,CI/AR",252
661-7714,R130363715,"IPHONE 5S,GSM,16GB,SILVER,CI/AR",252
661-7714,R130360061,"IPHONE 5S,GSM,16GB,SILVER,CI/AR",252
661-7714,R130370913,"IPHONE 5S,GSM,16GB,SILVER,CI/AR",252
661-7715,R130345136,"IPHONE 5S,GSM,16GB,GOLD,CI/AR",252
661-7715,R130326673,"IPHONE 5S,GSM,16GB,GOLD,CI/AR",252
661-7715,R130346870,"IPHONE 5S,GSM,16GB,GOLD,CI/AR",252
661-7715,R130364308,"IPHONE 5S,GSM,16GB,GOLD,CI/AR",252
661-7715,R130372710,"IPHONE 5S,GSM,16GB,GOLD,CI/AR",252
661-7716,R130325749,"IPHONE 5S,GSM,32GB,GRAY,CI/AR",252
661-7716,R130362920,"IPHONE 5S,GSM,32GB,GRAY,CI/AR",252
661-7716,R130359515,"IPHONE 5S,GSM,32GB,GRAY,CI/AR",252
661-7716,R130371228,"IPHONE 5S,GSM,32GB,GRAY,CI/AR",252
661-7717,R130359815,"IPHONE 5S,GSM,32GB,SILVER,CI/AR",252
661-7717,R130359625,"IPHONE 5S,GSM,32GB,SILVER,CI/AR",252
661-7718,R130360650,"IPHONE 5S,GSM,32GB,GOLD,CI/AR",252
661-7718,R130368792,"IPHONE 5S,GSM,32GB,GOLD,CI/AR",252
661-7903,R130364527,"IPHONE 4S,GSM,8GB,BLACK,CI/AR",252
661-7903,R130366808,"IPHONE 4S,GSM,8GB,BLACK,CI/AR",252
661-7904,R130325261,"IPHONE 4S,GSM,8GB,WHITE,CI/AR",252
661-7931,R129874413,"SVC,IPHONE 5C,MM-VZ,16GB,WHT,CI/AR",252
661-8041,R130325170,"DISPLAY,IPHONE 5C",252
661-8041,R130346723,"DISPLAY,IPHONE 5C",252
661-8041,R130326798,"DISPLAY,IPHONE 5C",252
661-8041,R130351136,"DISPLAY,IPHONE 5C",252
661-8041,R130351081,"DISPLAY,IPHONE 5C",252
661-8041,R130350001,"DISPLAY,IPHONE 5C",252
661-8041,R130051752,"DISPLAY,IPHONE 5C",252
661-8041,R130370555,"DISPLAY,IPHONE 5C",252
661-8080,R130344597,"IPHONE 5S,MM,32GB,GRAY,CI/AR-VZ",252
661-8169,R129960949,"IPAD AIR,WIFI,64GB,GRAY",252
661-8173,R130327231,"IPAD AIR,WIFI,64GB,WHITE",252
661-8178,R130364148,"IPAD AIR,CELL,128GB,GRAY",252
661-8276,R130346277,"IPAD,MINI,WIFI,16GB,GRAY",252
661-8317,R130344653,"IPAD,MINI,RETINA,WIFI,16GB,WHITE",252
661-8381,R130356644,"SVC,IPOD TOUCH(5GEN) CI,32G,S GRAY",252
661-8438,R130353803,"IPAD,MINI,RETINA,CELL,32GB,WHITE",252
C661-4954,R130369537,USB POWER ADAPTOR GRN DOT-CAN,252
C661-7016,R129548813,"ENCL,TOP CASE,W/BATT,NO TP,13""MBP-CAN",252
ZP661-6242,R129905635,"SVC,IPHONE 4S,GSM,16GB,WHT,RPLCMNT-ITP",252
